ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº
BE-018 ;1;Brazo Espejo Lateral Andare Largo ;10;1;0;Brazo Espejo Lateral Andare Largo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-018.jpg;1;1;BE-018 
BE-022 ;1;Brazo Cromado Triple ;10;1;0;Brazo Cromado Triple ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-022.jpg;1;1;BE-022 
BE-023 ;1;Brazo Espejo Lat. Magno Sport Izq ;10;1;0;Brazo Espejo Lat. Magno Sport Izq ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-023.jpg;1;1;BE-023 
BE-024 ;1;Brazo Espejo Lat. Magno Sport Der ;10;1;0;Brazo Espejo Lat. Magno Sport Der ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-024.jpg;1;1;BE-024 
BE-025 ;1;Espejo Redondo Plano Con Base 2 Tor ;10;1;0;Espejo Redondo Plano Con Base 2 Tor ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-025.jpg;1;1;BE-025 
BE-026 ;1;Espejo Redondo Convexo Con Manita ;10;1;0;Espejo Redondo Convexo Con Manita ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-026.jpg;1;1;BE-026 
BE-031 ;1;Espejo Interior Mini Plano T/3000 ;10;1;0;Espejo Interior Mini Plano T/3000 ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-031.jpg;1;1;BE-031 
BE-035 ;1;Concha Espejo C/ Mov. Mediana. Derecha ;10;1;0;Concha Espejo C/ Mov. Mediana. Derecha ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-035-D.jpg;1;1;BE-035 
BE-037 ;1;Brazo Espejo Lateral Volvo 8700 Largo ;10;1;0;Brazo Espejo Lateral Volvo 8700 Largo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-037.jpg;1;1;BE-037 
BE-038 ;1;Brazo Espejo Lateral Volvo 8700 Corto ;10;1;0;Brazo Espejo Lateral Volvo 8700 Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-038.jpg;1;1;BE-038 
BE-039 ;1;Concha Espejo Lateral Mediana ;10;1;0;Concha Espejo Lateral Mediana ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-039.jpg;1;1;BE-039 
BE-043 ;1;Brazo Espejo Lateral Cromado Corto ;10;1;0;Brazo Espejo Lateral Cromado Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-043.jpg;1;1;BE-043 
BE-052 ;1;Espejo Lateral Volvo 9700 Izq Eléctrico ;10;1;0;Espejo Lateral Volvo 9700 Izq Eléctrico ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-052.jpg;1;1;BE-052 
BE-054 ;1;Espejo Lateral Vistabus Izquierdo ;10;1;0;Espejo Lateral Vistabus Izquierdo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-054.jpg;1;1;BE-054 
BE-057 ;1;Espejo Lateral Irizar Izquierdo Manual ;10;1;0;Espejo Lateral Irizar Izquierdo Manual ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-057.jpg;1;1;BE-057 
BE-060 ;1;Espejo Lateral Milenium Largo ;10;1;0;Espejo Lateral Milenium Largo ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-060.jpg;1;1;BE-060 
BE-061 ;1;Espejo Lateral Milenium Corto ;10;1;0;Espejo Lateral Milenium Corto ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-061.jpg;1;1;BE-061 
BE-063 ;1;Espejo Lateral Freigthliner M2 Gris Derecho ;10;1;0;Espejo Lateral Freigthliner M2 Gris Derecho ;http://a72aa5f0.ngrok.io/images/brazos_espejos/BE-063.jpg;1;1;BE-063 
CH-02 ;1;Chapa Cajuela Volvo Con Piston Y Llave ;11;1;0;Chapa Cajuela Volvo Con Piston Y Llave ;http://a72aa5f0.ngrok.io/images/chapas/CH-02.jpg,http://a72aa5f0.ngrok.io/images/chapas/CH-02B.jpg;1;1;CH-02 
CH-04 ;1;Chapa Para Tapa De Batería Negra ;11;1;0;Chapa Para Tapa De Batería Negra ;http://a72aa5f0.ngrok.io/images/chapas/CH-04.jpg;1;1;CH-04 
CH-05 ;1;Chapa Tipo Paleta Con Resorte ;11;1;0;Chapa Tipo Paleta Con Resorte ;http://a72aa5f0.ngrok.io/images/chapas/CH-05.jpg;1;1;CH-05 
CH-08 ;1;Chapa Cañón Mediano ;11;1;0;Chapa Cañón Mediano ;http://a72aa5f0.ngrok.io/images/chapas/CH-08.jpg;1;1;CH-08 
CH-10 ;1;Chapa Para Mueble L-0250 ;11;1;0;Chapa Para Mueble L-0250 ;http://a72aa5f0.ngrok.io/images/chapas/CH-10.jpg;1;1;CH-10 
CH-12 ;1;Chapa Tipo “L” Con Llave ;11;1;0;Chapa Tipo “L” Con Llave ;http://a72aa5f0.ngrok.io/images/chapas/CH-12.jpg;1;1;CH-12 
CH-13 ;1;Chapa Para Tapa De Via Andare ;11;1;0;Chapa Para Tapa De Via Andare ;http://a72aa5f0.ngrok.io/images/chapas/CH-13.jpg;1;1;CH-13 
CH-14 ;1;Llave De Cuadro Tipo “T” ;11;1;0;Llave De Cuadro Tipo “T” ;http://a72aa5f0.ngrok.io/images/chapas/CH-14.jpg;1;1;CH-14 
CH-15 ;1;Chapa Cofre Eurocar ;11;1;0;Chapa Cofre Eurocar ;http://a72aa5f0.ngrok.io/images/chapas/CH-15.jpg;1;1;CH-15 
CH-16 ;1;Chapa Tipo “T” Con Paleta ;11;1;0;Chapa Tipo “T” Con Paleta ;http://a72aa5f0.ngrok.io/images/chapas/CH-16.jpg;1;1;CH-16 
CH-17 ;1;Chapa Vanete ;11;1;0;Chapa Vanete ;http://a72aa5f0.ngrok.io/images/chapas/CH-17.jpg;1;1;CH-17 
CH-18 ;1;Chapa Cuadro Al Centro ;11;1;0;Chapa Cuadro Al Centro ;http://a72aa5f0.ngrok.io/images/chapas/CH-18.jpg;1;1;CH-18 
CH-20 ;1;Chapa Pistillo ;11;1;0;Chapa Pistillo ;http://a72aa5f0.ngrok.io/images/chapas/CH-20.jpg;1;1;CH-20 
CH-22 ;1;Chapa De Camarote Negra ;11;1;0;Chapa De Camarote Negra ;http://a72aa5f0.ngrok.io/images/chapas/CH-22.jpg,http://a72aa5f0.ngrok.io/images/chapas/CH-22B.jpg;1;1;CH-22 
CH-23 ;1;Chapa De Camarote Cromada ;11;1;0;Chapa De Camarote Cromada ;http://a72aa5f0.ngrok.io/images/chapas/CH-23.jpg;1;1;CH-23 
CH-24 ;1;Chapa Camarote Chica Galvanizada ;11;1;0;Chapa Camarote Chica Galvanizada ;http://a72aa5f0.ngrok.io/images/chapas/CH-24.jpg;1;1;CH-24 
CH-29 ;1;Chapa Tipo Dina 800 Izquierda ;11;1;0;Chapa Tipo Dina 800 Izquierda ;http://a72aa5f0.ngrok.io/images/chapas/CH-29.jpg;1;1;CH-29 
CH-31 ;1;Chapa Oscilante Izquierda ;11;1;0;Chapa Oscilante Izquierda ;http://a72aa5f0.ngrok.io/images/chapas/CH-31.jpg;1;1;CH-31 
CH-33 ;1;Chapa Tipo Paleta 1142 ;11;1;0;Chapa Tipo Paleta 1142 ;http://a72aa5f0.ngrok.io/images/chapas/CH-33.jpg;1;1;CH-33 
